Features ,Notes,Comprehensive MCO with or without MLTSS,Comprehensive MCO with or without MLTSS 2,PCCM,PCCM 2,PCCM Entity,PCCM Entity 2,MLTSS,MLTSS 2,BHO (PIHP and/or PAHP),BHO (PIHP and/or PAHP) 2,Dental,Dental 2,Transportation,Transportation 2,Other PHP,Other PHP 2,PACE,PACE 2,Year
"Exempt populations (NA/AN=Native American/Alaskan Native, FC/AA=Foster Care and Adoption Assistance Children)2",,"NA/AN10","FC/AA22","NA/AN3","FC/AA3","NA/AN0","FC/AA0","NA/AN1","FC/AA4","NA/AN2","FC/AA1","NA/AN1","FC/AA45","FC/AA1","NA/AN2","FC/AA3","NA/AN7","FC/AA19",2019
Low-income Adults,,43,3,7,1,5,0,1,0,6,0,8,1,10,3,0,1,0,0,2020
"Aged, Blind or Disabled Children or Adults",,42,12,8,2,4,1,3,1,8,1,10,1,15,3,0,1,0,24,2020
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,41,3,9,1,4,0,1,0,7,1,10,1,13,3,0,0,0,0,2020
Individuals receiving Limited Benefits,,11,1,2,2,2,0,0,0,3,0,3,1,7,3,0,1,0,0,2020
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,40,4,5,1,3,0,0,0,6,0,7,1,9,1,0,1,0,0,2020
Full Duals,,28,22,0,1,1,1,3,2,6,2,7,1,13,3,0,2,0,30,2020
Children with Special Health Care Needs,,31,12,2,3,4,1,1,0,5,5,7,2,12,5,0,2,0,0,2020
Native American/Alaskan Natives,,24,42,5,5,2,3,1,3,4,6,6,6,9,4,0,2,0,23,2020
Foster Care and Adoption Assistance Children,,33,20,3,6,3,3,1,0,6,5,8,2,14,3,0,2,0,1,2020
"Exempt populations (NA/AN=Native American/Alaskan Native, FC/AA=Foster Care and Adoption Assistance Children)2","Certain federal statutory authorities do not allow enrollment of American Indians/Alaska Natives or Foster Care Children. Where states use these authorities to operate Medicaid managed care, American Indians/Alaska Natives or Foster Care Children are considered ""exempt.""","NA/AN11","FC/AA21","NA/AN1","FC/AA1","NA/AN1","FC/AA0","NA/AN1","FC/AA4","NA/AN2","FC/AA0","NA/AN1","FC/AA3","NA/AN5","FC/AA0","NA/AN2","FC/AA2","NA/AN8","FC/AA20",2020
Low-income Adults,,43,3,7,1,5,0,1,0,6,0,8,1,10,3,0,1,0,0,2021
"Aged, Blind or Disabled Children or Adults",,42,12,8,2,4,1,3,1,8,1,10,1,15,3,0,1,0,24,2021
Non-Disabled Children (excluding children in foster care or receiving adoption assistance),,41,3,9,1,4,0,1,0,7,1,10,1,13,3,0,0,0,0,2021
Individuals receiving Limited Benefits,,11,1,2,2,2,0,0,0,3,0,3,1,7,3,0,1,0,0,2021
Low-income adults not otherwise eligible and covered prior to 2014 under a waiver or other authority,,40,4,5,1,3,0,0,0,6,0,7,1,9,1,0,1,0,0,2021
Full Duals,,28,22,0,1,1,1,3,2,6,2,7,1,13,3,0,2,0,30,2021
Children with Special Health Care Needs,,31,12,2,3,4,1,1,0,5,5,7,2,12,5,0,2,0,0,2021
American Indian/Alaska Natives,,24,42,5,5,2,3,1,3,4,6,6,6,9,4,0,2,0,23,2021
Foster Care and Adoption Assistance Children,,33,20,3,6,3,3,1,0,6,5,8,2,14,3,0,2,0,1,2021
